ticket;fecha;mesa;mesero;platillo;comensales;total
52;05/05/2025 22:56;3;Luis;Enchiladas;5;$587.96
53;27/03/2025 14:37;11;Carla;Tacos;5;$339.04
54;18/04/2025 21:33;17;Carla;Enchiladas;2;$565.63
55;23/05/2025 15:45;19;Jorge;Chilaquiles;6;$444.35
56;25/03/2025 15:54;6;Jorge;Mole;1;$559.32
57;05/05/2025 20:55;13;Luis;Tacos;6;$518.57
58;15/03/2025 22:55;15;Carla;Mole;3;$416.17
59;30/03/2025 13:51;5;Ana;Tacos;3;$507.90
60;27/05/2025 14:54;17;Luis;Tacos;5;$289.40
61;07/04/2025 20:55;4;Ana;Mole;3;$294.46
62;16/04/2025 15:29;12;Luis;Mole;2;$407.73
63;27/03/2025 14:26;14;Luis;Pozole;3;$615.14
64;11/03/2025 22:34;14;Luis;Chilaquiles;2;$360.79
65;08/04/2025 14:30;6;Carla;Chilaquiles;3;$378.57
66;26/04/2025 20:32;13;Carla;Enchiladas;2;$650.18
67;11/04/2025 22:04;17;Ana;Mole;5;$455.57
68;09/05/2025 21:01;18;Carla;Mole;1;$450.45
69;02/04/2025 20:23;1;Jorge;Mole;2;$324.35
70;25/04/2025 20:56;15;Carla;Chilaquiles;1;$457.62
71;09/05/2025 21:19;15;Luis;Tacos;1;$521.53
72;22/05/2025 14:09;8;Jorge;Enchiladas;3;$443.61
73;08/04/2025 20:44;19;Jorge;Pozole;1;$542.05
74;04/03/2025 21:33;6;Luis;Chilaquiles;2;$489.76
75;04/05/2025 21:35;8;Carla;Pozole;4;$576.33
76;17/04/2025 22:40;3;Ana;Chilaquiles;3;$549.49
77;18/05/2025 22:40;6;Luis;Enchiladas;4;$434.28
78;11/04/2025 13:47;10;Luis;Tacos;6;$554.63
79;03/04/2025 15:33;7;Carla;Tacos;1;$666.89
80;06/03/2025 19:32;5;Carla;Enchiladas;5;$486.74
81;11/04/2025 21:57;16;Ana;Chilaquiles;1;$303.81
82;27/04/2025 15:38;5;Jorge;Enchiladas;5;$473.19
83;09/05/2025 14:15;4;Ana;Enchiladas;6;$426.33
84;16/05/2025 13:49;17;Jorge;Chilaquiles;6;$761.18
85;20/03/2025 14:45;19;Jorge;Tacos;1;$540.72
86;23/04/2025 21:38;14;Ana;Mole;5;$317.25
87;12/05/2025 13:20;10;Carla;Mole;1;$427.37
88;24/03/2025 14:40;11;Jorge;Tacos;3;$625.28
89;01/04/2025 15:49;9;Ana;Pozole;2;$310.37
90;15/05/2025 19:51;17;Ana;Enchiladas;1;$390.64
91;22/04/2025 15:32;4;Jorge;Mole;5;$449.70
92;15/04/2025 21:04;10;Carla;Enchiladas;5;$431.64
93;30/04/2025 14:30;14;Jorge;Tacos;2;$378.17
94;15/04/2025 20:31;8;Ana;Chilaquiles;1;$464.95
95;28/05/2025 21:41;11;Luis;Enchiladas;5;$279.80
96;07/05/2025 22:01;14;Jorge;Chilaquiles;2;$379.54
97;05/03/2025 21:59;19;Luis;Tacos;1;$377.04
98;14/03/2025 14:09;12;Luis;Chilaquiles;2;$412.61
99;19/04/2025 21:47;19;Ana;Enchiladas;3;$412.75
100;13/05/2025 20:01;4;Ana;Tacos;6;$448.15
101;07/03/2025 15:58;15;Ana;Pozole;2;$406.59
102;01/05/2025 13:51;7;Jorge;Enchiladas;6;$398.10
103;08/05/2025 14:33;6;Luis;Pozole;5;$491.43
104;10/05/2025 20:19;11;Ana;Pozole;2;$555.98
105;18/05/2025 13:28;6;Jorge;Tacos;3;$563.34
106;18/03/2025 15:31;5;Luis;Enchiladas;3;$309.57
107;19/04/2025 14:10;13;Luis;Enchiladas;4;$477.43
108;12/05/2025 20:47;18;Luis;Chilaquiles;3;$537.34
109;02/04/2025 15:37;4;Carla;Mole;3;$415.66
110;18/03/2025 13:41;1;Luis;Pozole;1;$503.68
111;13/04/2025 15:08;7;Luis;Enchiladas;5;$421.20
112;08/03/2025 15:55;17;Luis;Mole;1;$492.75
113;20/03/2025 20:31;1;Jorge;Tacos;1;$264.77
114;16/05/2025 15:29;19;Jorge;Pozole;4;$502.80
115;30/04/2025 20:02;10;Carla;Mole;4;$389.57
116;17/05/2025 19:42;12;Ana;Pozole;4;$359.15
117;15/05/2025 21:50;8;Carla;Enchiladas;4;$411.42
118;18/05/2025 20:52;5;Carla;Tacos;4;$565.63
119;28/03/2025 15:10;13;Ana;Tacos;4;$560.44
120;12/04/2025 19:06;16;Ana;Chilaquiles;6;$477.05
121;25/04/2025 19:13;3;Luis;Mole;2;$550.89
122;25/03/2025 21:28;9;Carla;Pozole;1;$398.33
123;22/05/2025 14:04;11;Ana;Chilaquiles;1;$297.77
124;01/03/2025 15:05;14;Luis;Tacos;6;$223.24
125;15/05/2025 19:24;17;Jorge;Pozole;4;$443.29
126;28/04/2025 15:33;7;Luis;Pozole;2;$429.42
127;23/03/2025 20:01;17;Jorge;Tacos;5;$451.30
128;04/05/2025 19:18;5;Carla;Tacos;6;$455.04
129;07/04/2025 15:31;8;Ana;Chilaquiles;6;$593.09
130;15/05/2025 20:50;19;Luis;Enchiladas;1;$336.47
131;29/05/2025 15:35;15;Luis;Tacos;2;$353.99
132;26/03/2025 20:28;2;Carla;Chilaquiles;3;$676.81
133;12/04/2025 20:07;8;Ana;Tacos;2;$539.06
134;20/03/2025 14:09;2;Ana;Enchiladas;5;$410.58
135;02/05/2025 15:27;8;Ana;Pozole;5;$202.18
136;27/04/2025 22:52;15;Jorge;Enchiladas;2;$344.62
137;16/05/2025 22:46;3;Luis;Tacos;6;$403.40
138;12/05/2025 22:25;15;Carla;Enchiladas;1;$436.44
139;27/05/2025 13:33;16;Luis;Tacos;5;$469.22
140;26/05/2025 21:01;6;Ana;Pozole;2;$419.10
141;20/05/2025 22:25;1;Luis;Enchiladas;4;$583.90
142;14/03/2025 22:16;8;Carla;Pozole;3;$303.88
143;04/03/2025 20:47;8;Carla;Mole;5;$412.13
144;13/04/2025 20:22;14;Ana;Enchiladas;6;$364.61
145;01/04/2025 20:15;18;Ana;Chilaquiles;3;$538.89
146;20/05/2025 20:01;12;Ana;Chilaquiles;2;$467.20
147;11/05/2025 21:26;8;Carla;Pozole;1;$540.57
148;08/04/2025 19:08;13;Luis;Pozole;5;$455.18
149;21/04/2025 14:24;4;Carla;Pozole;5;$896.12
150;23/04/2025 13:17;9;Carla;Chilaquiles;6;$532.38
151;20/05/2025 22:22;9;Carla;Chilaquiles;2;$355.58
152;03/03/2025 21:20;19;Carla;Pozole;1;$445.24
153;14/04/2025 14:05;4;Luis;Pozole;6;$397.77
154;30/04/2025 21:26;3;Carla;Enchiladas;2;$536.89
155;10/04/2025 15:35;12;Ana;Pozole;5;$562.50
156;22/05/2025 20:17;13;Ana;Tacos;6;$492.10
157;25/05/2025 15:07;3;Jorge;Pozole;2;$424.75
158;14/05/2025 14:19;4;Luis;Tacos;4;$366.35
159;11/04/2025 14:02;9;Ana;Pozole;2;$639.15
160;19/05/2025 13:27;7;Carla;Pozole;2;$580.88
161;07/03/2025 13:47;1;Jorge;Mole;2;$95.50
162;29/04/2025 13:21;6;Luis;Enchiladas;3;$455.24
163;25/03/2025 13:39;7;Carla;Mole;1;$346.55
164;23/03/2025 21:44;16;Luis;Tacos;3;$402.30
165;01/05/2025 19:55;11;Luis;Chilaquiles;3;$650.70
166;09/05/2025 14:46;12;Ana;Pozole;6;$311.64
167;19/05/2025 19:58;10;Ana;Mole;4;$322.87
168;20/03/2025 19:01;7;Ana;Mole;5;$742.40
169;18/05/2025 19:06;13;Ana;Pozole;5;$391.05
170;14/05/2025 14:09;11;Jorge;Mole;2;$420.01
171;29/03/2025 15:07;16;Jorge;Pozole;2;$585.74
172;06/03/2025 21:06;9;Luis;Tacos;6;$387.56
173;09/05/2025 15:06;2;Carla;Enchiladas;6;$453.23
174;14/05/2025 19:21;11;Jorge;Enchiladas;1;$478.57
175;11/04/2025 22:34;19;Carla;Tacos;5;$618.27
176;15/03/2025 14:21;5;Ana;Mole;6;$255.46
177;14/03/2025 20:03;5;Carla;Mole;6;$349.43
178;03/04/2025 19:44;8;Carla;Enchiladas;1;$434.18
179;08/05/2025 21:32;18;Luis;Chilaquiles;3;$558.96
180;29/03/2025 15:43;9;Luis;Pozole;4;$372.71
181;03/03/2025 19:51;19;Jorge;Pozole;4;$505.36
182;02/05/2025 15:52;2;Jorge;Mole;3;$388.30
183;06/05/2025 21:27;19;Ana;Tacos;2;$402.60
184;17/03/2025 22:40;1;Ana;Tacos;5;$602.89
185;20/04/2025 20:14;19;Carla;Chilaquiles;6;$421.69
186;05/04/2025 22:35;12;Carla;Tacos;3;$805.39
187;15/04/2025 20:43;13;Ana;Chilaquiles;2;$493.11
188;01/03/2025 21:59;4;Jorge;Mole;2;$585.10
189;27/04/2025 21:20;18;Ana;Tacos;2;$539.04
190;24/03/2025 14:38;16;Carla;Chilaquiles;5;$263.28
191;19/04/2025 22:12;5;Jorge;Chilaquiles;4;$265.17
192;07/04/2025 15:23;1;Carla;Tacos;3;$508.46
193;24/04/2025 19:54;17;Carla;Tacos;1;$317.30
194;10/03/2025 14:18;5;Luis;Tacos;3;$384.28
195;02/04/2025 21:26;1;Ana;Mole;5;$409.62
196;26/04/2025 15:02;12;Carla;Chilaquiles;5;$339.97
197;09/05/2025 20:01;5;Luis;Enchiladas;5;$591.99
198;04/04/2025 14:56;3;Ana;Pozole;3;$543.49
199;03/03/2025 15:12;19;Jorge;Tacos;6;$470.97
200;05/05/2025 15:45;8;Ana;Enchiladas;4;$517.35
201;15/04/2025 14:09;9;Jorge;Mole;4;$341.18
202;28/04/2025 13:22;6;Luis;Tacos;5;$554.93
203;15/03/2025 21:05;6;Ana;Tacos;2;$347.92
204;08/04/2025 22:52;6;Ana;Pozole;5;$637.32
205;19/05/2025 14:48;5;Jorge;Tacos;6;$369.85
206;18/05/2025 14:45;5;Ana;Tacos;5;$383.42
207;29/03/2025 15:55;2;Jorge;Mole;5;$589.77
208;26/04/2025 13:27;19;Luis;Chilaquiles;5;$527.91
209;08/03/2025 20:02;16;Jorge;Tacos;3;$335.42
210;12/05/2025 15:57;7;Jorge;Chilaquiles;1;$522.46
211;25/03/2025 20:15;12;Jorge;Chilaquiles;4;$449.93
212;31/03/2025 22:53;3;Jorge;Mole;4;$452.20
213;26/05/2025 21:46;17;Ana;Enchiladas;1;$524.41
214;18/04/2025 22:26;18;Ana;Chilaquiles;4;$524.14
215;18/05/2025 22:07;11;Ana;Tacos;5;$572.47
216;18/03/2025 20:25;4;Luis;Enchiladas;1;$508.14
217;08/05/2025 19:48;7;Jorge;Pozole;4;$489.50
218;29/05/2025 13:09;14;Carla;Tacos;6;$438.17
219;07/03/2025 14:34;7;Luis;Tacos;1;$629.93
220;22/03/2025 19:06;13;Jorge;Mole;5;$356.82
221;14/03/2025 21:56;19;Luis;Chilaquiles;1;$679.81
222;24/03/2025 15:21;14;Ana;Enchiladas;1;$712.36
223;28/03/2025 13:58;5;Carla;Enchiladas;6;$710.75
224;07/03/2025 14:12;15;Ana;Mole;1;$433.99
225;20/05/2025 21:00;7;Carla;Pozole;3;$703.21
226;24/03/2025 14:04;4;Ana;Tacos;1;$588.52
227;22/05/2025 14:17;17;Jorge;Chilaquiles;1;$579.45
228;08/05/2025 14:44;1;Luis;Enchiladas;1;$846.09
229;16/03/2025 20:29;9;Carla;Mole;4;$474.67
230;02/05/2025 21:57;9;Ana;Mole;4;$519.74
231;09/05/2025 14:39;2;Jorge;Chilaquiles;1;$300.13
232;12/03/2025 20:41;9;Ana;Chilaquiles;1;$184.42
233;12/03/2025 19:38;15;Carla;Chilaquiles;3;$485.83
234;03/04/2025 15:54;5;Carla;Tacos;3;$502.78
235;07/03/2025 20:22;3;Jorge;Pozole;2;$535.96
236;07/04/2025 21:52;16;Ana;Pozole;2;$487.80
237;13/04/2025 14:01;7;Luis;Pozole;5;$212.23
238;29/04/2025 19:38;3;Ana;Chilaquiles;4;$496.29
239;21/04/2025 13:27;10;Jorge;Mole;5;$586.05
240;11/04/2025 19:31;10;Luis;Tacos;5;$640.02
241;20/03/2025 21:50;17;Carla;Chilaquiles;3;$337.34
242;22/04/2025 22:21;11;Luis;Pozole;4;$344.09
243;10/04/2025 19:22;17;Jorge;Pozole;6;$367.69
244;15/05/2025 14:29;1;Ana;Mole;4;$374.20
245;02/05/2025 20:28;14;Luis;Tacos;4;$256.28
246;05/05/2025 15:19;16;Luis;Pozole;4;$368.55
247;21/04/2025 14:48;11;Ana;Pozole;1;$640.79
248;02/04/2025 19:10;7;Jorge;Chilaquiles;5;$323.29
249;26/03/2025 21:53;11;Luis;Mole;5;$225.85
250;10/04/2025 21:29;9;Jorge;Pozole;4;$417.05
251;21/04/2025 22:37;2;Carla;Tacos;6;$389.38
252;03/04/2025 15:39;4;Jorge;Enchiladas;2;$531.70
253;14/03/2025 14:29;11;Carla;Chilaquiles;4;$360.78
254;10/03/2025 14:35;8;Jorge;Tacos;1;$428.18
255;04/03/2025 15:20;19;Ana;Chilaquiles;1;$348.99
256;19/03/2025 21:44;9;Jorge;Pozole;4;$332.91
257;06/04/2025 14:30;16;Jorge;Pozole;5;$494.21
258;26/03/2025 21:20;12;Carla;Chilaquiles;5;$464.43
259;16/03/2025 20:03;18;Carla;Chilaquiles;1;$443.21
260;29/03/2025 14:00;1;Carla;Chilaquiles;5;$511.88
261;04/05/2025 20:30;12;Carla;Chilaquiles;4;$350.38
262;29/03/2025 21:12;9;Luis;Tacos;5;$451.94
263;22/05/2025 22:26;12;Carla;Chilaquiles;3;$474.15
264;21/04/2025 14:17;10;Carla;Tacos;5;$591.63
265;13/03/2025 21:04;4;Carla;Tacos;6;$222.08
266;27/05/2025 21:33;19;Jorge;Tacos;1;$407.15
267;19/05/2025 14:47;7;Ana;Mole;1;$503.37
268;09/05/2025 14:23;12;Carla;Chilaquiles;6;$379.96
269;15/03/2025 22:08;4;Ana;Tacos;3;$460.33
270;11/05/2025 15:39;14;Luis;Enchiladas;1;$531.83
271;03/05/2025 14:28;19;Ana;Enchiladas;2;$506.99
272;08/05/2025 20:13;9;Carla;Enchiladas;4;$241.97
273;04/05/2025 14:26;16;Luis;Pozole;6;$304.30
274;23/04/2025 19:28;10;Luis;Mole;3;$109.94
275;31/03/2025 15:20;18;Jorge;Mole;3;$527.79
276;22/05/2025 19:00;19;Ana;Enchiladas;1;$474.65
277;28/05/2025 20:52;10;Carla;Enchiladas;1;$611.16
278;02/05/2025 20:41;8;Luis;Enchiladas;4;$455.51
279;02/04/2025 15:22;1;Luis;Enchiladas;3;$311.71
280;15/04/2025 21:51;19;Ana;Mole;1;$578.24
281;20/04/2025 21:31;8;Ana;Chilaquiles;4;$290.49
282;07/03/2025 22:51;12;Jorge;Chilaquiles;1;$448.89
283;08/03/2025 15:25;8;Ana;Tacos;3;$424.30
284;13/04/2025 20:52;18;Carla;Tacos;5;$542.68
285;20/04/2025 15:29;18;Luis;Tacos;4;$558.77
286;20/03/2025 14:11;11;Luis;Enchiladas;6;$398.25
287;24/03/2025 20:15;13;Carla;Mole;5;$361.05
288;12/03/2025 22:58;16;Ana;Tacos;3;$443.26
289;22/05/2025 21:31;12;Ana;Pozole;5;$379.67
290;15/04/2025 14:33;16;Ana;Chilaquiles;5;$563.71
291;25/03/2025 14:55;10;Ana;Mole;6;$494.77
292;10/05/2025 21:11;8;Luis;Pozole;6;$617.21
293;26/05/2025 20:24;15;Luis;Chilaquiles;5;$763.60
294;27/03/2025 21:05;7;Carla;Chilaquiles;5;$345.08
295;20/05/2025 14:09;8;Luis;Pozole;6;$376.87
296;09/05/2025 21:04;18;Ana;Tacos;3;$507.01
297;11/05/2025 15:41;1;Luis;Pozole;2;$497.79
298;17/04/2025 14:38;7;Luis;Chilaquiles;6;$407.69
299;21/05/2025 15:46;7;Ana;Chilaquiles;4;$242.63
300;14/03/2025 22:37;15;Ana;Enchiladas;2;$755.81
301;08/03/2025 22:36;18;Luis;Chilaquiles;3;$459.54
302;26/05/2025 13:47;4;Ana;Mole;2;$308.50
303;14/04/2025 15:23;16;Ana;Mole;6;$159.96
304;06/04/2025 20:39;10;Ana;Enchiladas;5;$618.36
305;05/05/2025 13:55;1;Carla;Mole;5;$489.15
306;27/03/2025 13:31;8;Ana;Pozole;5;$449.82
307;27/04/2025 13:48;8;Luis;Tacos;6;$324.05
308;16/05/2025 21:09;6;Jorge;Mole;2;$436.83
309;12/05/2025 15:49;9;Jorge;Tacos;2;$402.33
310;12/03/2025 15:44;5;Ana;Tacos;2;$147.84
311;27/05/2025 21:45;16;Jorge;Mole;2;$772.27
312;06/05/2025 15:00;19;Ana;Chilaquiles;1;$502.33
313;02/05/2025 20:28;8;Carla;Enchiladas;3;$407.83
314;17/03/2025 15:39;13;Jorge;Chilaquiles;1;$332.46
315;23/05/2025 14:12;9;Luis;Mole;6;$376.09
316;05/04/2025 15:09;9;Jorge;Mole;2;$742.00
317;24/05/2025 14:49;3;Luis;Tacos;2;$496.84
318;21/03/2025 13:09;11;Carla;Mole;1;$287.83
319;09/03/2025 21:14;14;Jorge;Tacos;2;$556.70
320;15/05/2025 21:54;17;Ana;Enchiladas;1;$509.24
321;22/04/2025 19:08;16;Ana;Mole;4;$512.72
322;05/04/2025 20:55;13;Ana;Tacos;5;$433.08
323;27/05/2025 21:31;14;Luis;Mole;3;$428.51
324;27/05/2025 15:43;3;Ana;Enchiladas;6;$474.89
325;02/03/2025 20:20;9;Carla;Pozole;3;$423.53
326;26/04/2025 21:13;5;Ana;Tacos;1;$278.23
327;12/05/2025 13:03;16;Carla;Tacos;3;$327.73
328;02/05/2025 14:28;17;Luis;Enchiladas;3;$449.89
329;24/04/2025 21:14;6;Jorge;Chilaquiles;1;$255.21
330;16/04/2025 20:20;11;Ana;Mole;1;$432.49
331;18/04/2025 14:54;15;Luis;Tacos;2;$410.27
332;28/03/2025 21:07;12;Jorge;Tacos;3;$537.48
333;13/03/2025 21:11;11;Jorge;Mole;5;$468.30
334;05/04/2025 15:14;4;Luis;Tacos;1;$412.66
335;02/05/2025 15:10;19;Carla;Chilaquiles;2;$412.88
336;24/05/2025 14:03;3;Ana;Chilaquiles;4;$500.97
337;26/05/2025 15:26;4;Carla;Tacos;3;$562.28
338;19/03/2025 14:58;5;Ana;Chilaquiles;5;$318.80
339;03/03/2025 19:54;4;Ana;Chilaquiles;3;$263.14
340;28/05/2025 20:14;7;Carla;Pozole;5;$358.41
341;30/04/2025 20:05;1;Luis;Pozole;6;$169.02
342;08/05/2025 13:23;11;Jorge;Enchiladas;1;$353.55
343;13/05/2025 20:02;6;Ana;Chilaquiles;5;$549.50
344;02/04/2025 21:14;8;Carla;Chilaquiles;5;$567.43
345;17/05/2025 14:12;15;Carla;Mole;3;$634.71
346;27/04/2025 20:39;13;Ana;Tacos;6;$456.74
347;27/04/2025 21:07;12;Carla;Mole;2;$467.57
348;04/04/2025 14:33;9;Jorge;Enchiladas;2;$377.09
349;31/03/2025 22:36;19;Ana;Enchiladas;1;$385.40
350;04/04/2025 22:45;10;Carla;Chilaquiles;6;$483.55
351;04/05/2025 20:23;15;Carla;Pozole;1;$558.98
352;15/04/2025 21:00;19;Carla;Mole;3;$500.57
353;02/03/2025 14:45;1;Carla;Tacos;3;$202.98
354;02/03/2025 20:12;1;Jorge;Mole;2;$508.51
355;18/03/2025 22:44;19;Jorge;Enchiladas;6;$448.87
356;14/04/2025 13:35;13;Carla;Pozole;1;$376.75
357;23/04/2025 21:56;8;Jorge;Chilaquiles;1;$465.45
358;27/05/2025 14:34;14;Ana;Mole;6;$557.11
359;10/05/2025 21:24;6;Jorge;Chilaquiles;1;$465.33
360;26/03/2025 20:49;4;Carla;Enchiladas;6;$360.45
361;16/04/2025 21:08;2;Ana;Mole;2;$854.06
362;07/05/2025 15:04;17;Luis;Chilaquiles;5;$371.52
363;19/05/2025 19:41;8;Jorge;Enchiladas;3;$504.21
364;09/04/2025 22:22;3;Jorge;Mole;2;$600.53
365;04/05/2025 13:17;4;Ana;Tacos;1;$343.56
366;19/03/2025 14:24;16;Carla;Chilaquiles;2;$514.47
367;11/04/2025 22:00;8;Luis;Mole;6;$345.05
368;21/05/2025 22:30;4;Carla;Mole;5;$415.64
369;04/04/2025 14:26;8;Jorge;Mole;4;$355.89
370;02/03/2025 22:21;9;Ana;Mole;5;$660.95
371;11/05/2025 14:37;7;Jorge;Enchiladas;5;$281.10
372;28/03/2025 21:44;8;Ana;Tacos;5;$510.20
373;09/04/2025 22:49;14;Jorge;Enchiladas;4;$452.07
374;29/05/2025 13:06;11;Jorge;Pozole;1;$207.68
375;04/04/2025 13:15;7;Luis;Enchiladas;6;$657.60
376;24/03/2025 15:03;13;Ana;Tacos;1;$378.77
377;22/03/2025 22:03;15;Jorge;Tacos;3;$415.97
378;16/05/2025 21:18;1;Ana;Chilaquiles;4;$473.89
379;20/03/2025 15:26;3;Ana;Chilaquiles;5;$337.82
380;24/04/2025 21:05;16;Luis;Mole;1;$353.75
381;22/03/2025 15:13;2;Ana;Enchiladas;4;$443.09
382;12/05/2025 15:23;11;Jorge;Pozole;5;$341.09
383;04/05/2025 14:49;1;Jorge;Tacos;1;$459.44
384;26/04/2025 22:34;18;Carla;Chilaquiles;6;$600.91
385;08/04/2025 21:54;6;Jorge;Pozole;2;$324.74
386;02/04/2025 19:05;4;Jorge;Chilaquiles;6;$255.84
387;25/05/2025 14:16;9;Jorge;Enchiladas;2;$431.48
388;08/05/2025 22:27;9;Carla;Enchiladas;5;$496.06
389;05/04/2025 15:56;17;Jorge;Mole;6;$528.55
390;03/03/2025 14:33;19;Jorge;Mole;1;$314.82
391;12/03/2025 15:34;10;Carla;Tacos;4;$162.45
392;10/04/2025 20:33;13;Jorge;Tacos;1;$553.75
393;11/04/2025 21:38;15;Ana;Mole;6;$533.59
394;03/04/2025 14:01;10;Jorge;Tacos;6;$630.28
395;28/05/2025 22:39;5;Jorge;Mole;2;$330.71
396;12/04/2025 20:46;9;Jorge;Mole;4;$515.48
397;11/05/2025 13:45;12;Ana;Enchiladas;3;$569.18
398;12/03/2025 21:43;18;Luis;Enchiladas;1;$225.19
399;03/04/2025 22:05;7;Luis;Tacos;4;$575.01
400;21/03/2025 21:17;1;Carla;Pozole;1;$620.19
401;13/03/2025 13:55;15;Ana;Chilaquiles;4;$517.49
402;20/04/2025 19:28;19;Carla;Pozole;1;$512.49
403;13/03/2025 20:01;3;Jorge;Tacos;5;$536.95
404;04/04/2025 21:44;9;Jorge;Chilaquiles;6;$415.90
405;01/05/2025 19:11;5;Luis;Tacos;3;$273.66
406;11/05/2025 13:50;16;Carla;Mole;2;$335.68
407;20/04/2025 22:46;19;Jorge;Chilaquiles;1;$425.82
408;24/04/2025 22:14;10;Luis;Pozole;5;$344.85
409;27/03/2025 19:37;15;Carla;Tacos;4;$571.04
410;17/05/2025 13:46;16;Ana;Chilaquiles;6;$397.96
411;17/03/2025 21:19;14;Carla;Tacos;4;$433.65
412;05/05/2025 20:25;2;Carla;Enchiladas;3;$233.68
413;09/03/2025 22:57;13;Carla;Chilaquiles;5;$495.04
414;24/04/2025 13:57;9;Ana;Tacos;6;$362.27
415;23/03/2025 15:01;8;Ana;Tacos;6;$629.26
416;26/03/2025 14:52;15;Carla;Enchiladas;6;$239.54
417;01/04/2025 14:59;9;Carla;Mole;1;$486.32
418;10/05/2025 20:21;19;Luis;Pozole;1;$398.33
419;11/05/2025 15:37;9;Jorge;Enchiladas;6;$403.51
420;23/03/2025 13:21;10;Carla;Enchiladas;1;$652.37
421;18/04/2025 14:55;8;Ana;Chilaquiles;4;$562.76
422;07/03/2025 21:29;2;Jorge;Chilaquiles;6;$344.61
423;20/05/2025 20:46;1;Ana;Chilaquiles;3;$615.29
424;26/05/2025 14:57;15;Luis;Pozole;6;$368.67
425;02/04/2025 20:42;4;Jorge;Mole;1;$543.13
426;18/04/2025 14:08;13;Carla;Pozole;5;$238.08
427;18/04/2025 20:24;13;Ana;Pozole;5;$408.38
428;09/05/2025 20:32;3;Carla;Mole;5;$412.32
429;07/03/2025 13:36;7;Luis;Mole;1;$407.60
430;17/04/2025 19:38;4;Ana;Pozole;6;$255.79
431;15/05/2025 20:58;2;Ana;Enchiladas;6;$218.97
432;25/04/2025 21:43;10;Carla;Tacos;3;$445.23
433;20/04/2025 20:59;19;Ana;Chilaquiles;5;$520.33
434;04/03/2025 21:04;4;Carla;Enchiladas;5;$451.40
435;23/05/2025 21:12;6;Ana;Mole;3;$406.29
