id_pedido,fecha_pedido,producto,categoría,cantidad,total_venta,canal,estado,ciudad
1033,2025-06-10,Mochila,Accesorios,3,2400,Web,Enviado,Guadalajara
1034,2025-03-17,Camiseta,Ropa,3,750,Web,Entregado,Puebla
1035,2025-10-10,Gorra,Accesorios,1,180,Web,Entregado,Monterrey
1036,2025-08-04,Camiseta,Ropa,4,1000,Marketplace,Entregado,Puebla
1037,2025-07-02,Tenis,Calzado,2,2400,Web,Cancelado,CDMX
1038,2025-08-27,Gorra,Accesorios,1,180,Web,Entregado,Monterrey
1039,2025-03-08,Tenis,Calzado,1,1200,Web,Entregado,Puebla
1040,2025-11-30,Tenis,Calzado,2,2400,Marketplace,Entregado,Monterrey
1041,2025-04-19,Camiseta,Ropa,3,750,Web,Entregado,Guadalajara
1042,2025-06-24,Camiseta,Ropa,2,500,Web,Entregado,Monterrey
1043,2025-07-29,Camiseta,Ropa,4,1000,App,Cancelado,Guadalajara
1044,2025-03-05,Camiseta,Ropa,1,250,App,Entregado,Monterrey
1045,2025-02-22,Chamarra,Ropa,1,1500,Web,Entregado,CDMX
1046,2025-06-23,Gorra,Accesorios,2,360,Web,Entregado,Guadalajara
1047,2025-01-06,Chamarra,Ropa,3,4500,Web,Entregado,CDMX
1048,2025-08-09,Pantalón,Ropa,2,1200,Web,Enviado,Monterrey
1049,2025-06-08,Chamarra,Ropa,4,6000,Marketplace,Enviado,Puebla
1050,2025-03-29,Calcetines,Calzado,1,90,Marketplace,Entregado,Puebla
1051,2025-10-06,Tenis,Calzado,4,4800,App,Entregado,Monterrey
1052,2025-04-30,Gorra,Accesorios,1,180,Web,Entregado,CDMX
1053,2025-08-13,Mochila,Accesorios,4,3200,App,Enviado,CDMX
1054,2025-03-18,Calcetines,Calzado,1,90,App,Entregado,Puebla
1055,2025-04-29,Mochila,Accesorios,2,1600,Web,Entregado,Puebla
1056,2025-08-17,Tenis,Calzado,2,2400,Web,Entregado,Monterrey
1057,2025-09-19,Chamarra,Ropa,4,6000,Web,Entregado,Monterrey
1058,2025-08-22,Mochila,Accesorios,3,2400,App,Entregado,Guadalajara
1059,2025-06-26,Chamarra,Ropa,4,6000,App,Entregado,Puebla
1060,2025-04-02,Calcetines,Calzado,2,180,Web,Entregado,Guadalajara
1061,2025-12-31,Chamarra,Ropa,3,4500,Web,Enviado,Puebla
1062,2025-11-29,Chamarra,Ropa,3,4500,Marketplace,Entregado,Guadalajara
1063,2025-10-11,Tenis,Calzado,4,4800,Web,Entregado,Guadalajara
1064,2025-04-17,Mochila,Accesorios,3,2400,Web,Entregado,Monterrey
1065,2025-10-31,Camiseta,Ropa,4,1000,Web,Entregado,CDMX
1066,2025-07-31,Chamarra,Ropa,1,1500,Web,Entregado,Guadalajara
1067,2025-04-05,Calcetines,Calzado,2,180,Marketplace,Entregado,Guadalajara
1068,2025-10-13,Calcetines,Calzado,1,90,Web,Entregado,Guadalajara
1069,2025-02-25,Gorra,Accesorios,4,720,Marketplace,Entregado,Guadalajara
1070,2025-07-31,Tenis,Calzado,1,1200,App,Entregado,Monterrey
1071,2025-03-14,Tenis,Calzado,3,3600,Web,Entregado,Monterrey
1072,2025-01-27,Tenis,Calzado,4,4800,Web,Entregado,Puebla
1073,2025-06-07,Gorra,Accesorios,2,360,Marketplace,Entregado,CDMX
1074,2025-06-13,Calcetines,Calzado,2,180,App,Entregado,Puebla
1075,2025-07-06,Mochila,Accesorios,4,3200,Web,Entregado,Guadalajara
1076,2025-01-03,Camiseta,Ropa,3,750,Web,Entregado,CDMX
1077,2025-03-13,Mochila,Accesorios,3,2400,Web,Entregado,CDMX
1078,2025-01-30,Gorra,Accesorios,4,720,Marketplace,Entregado,Monterrey
1079,2025-10-12,Tenis,Calzado,1,1200,Web,Cancelado,Puebla
1080,2025-01-19,Chamarra,Ropa,2,3000,Marketplace,Entregado,Puebla
1081,2025-11-13,Chamarra,Ropa,2,3000,Marketplace,Entregado,Guadalajara
1082,2025-03-19,Pantalón,Ropa,4,2400,Web,Entregado,CDMX
1083,2025-04-26,Tenis,Calzado,1,1200,Web,Entregado,Monterrey
1084,2025-05-03,Calcetines,Calzado,2,180,Web,Entregado,Guadalajara
1085,2025-07-05,Chamarra,Ropa,2,3000,App,Entregado,Guadalajara
1086,2025-05-14,Gorra,Accesorios,1,180,Web,Enviado,Guadalajara
1087,2025-08-05,Tenis,Calzado,2,2400,App,Entregado,Puebla
1088,2025-05-19,Calcetines,Calzado,3,270,Web,Entregado,CDMX
1089,2025-09-21,Tenis,Calzado,2,2400,App,Entregado,CDMX
1090,2025-12-28,Tenis,Calzado,2,2400,Web,Entregado,Puebla
1091,2025-02-23,Mochila,Accesorios,3,2400,App,Entregado,CDMX
1092,2025-02-13,Pantalón,Ropa,4,2400,Web,Entregado,CDMX
1093,2025-04-13,Pantalón,Ropa,1,600,Web,Entregado,Puebla
1094,2025-03-16,Chamarra,Ropa,2,3000,Web,Entregado,Monterrey
1095,2025-09-24,Chamarra,Ropa,4,6000,Marketplace,Entregado,CDMX
1096,2025-09-22,Camiseta,Ropa,2,500,Marketplace,Enviado,Monterrey
1097,2025-07-27,Camiseta,Ropa,3,750,App,Entregado,CDMX
1098,2025-12-29,Tenis,Calzado,2,2400,Web,Entregado,Monterrey
1099,2025-11-25,Calcetines,Calzado,4,360,Marketplace,Entregado,Monterrey
1100,2025-12-25,Tenis,Calzado,3,3600,Web,Entregado,Puebla
1101,2025-06-13,Calcetines,Calzado,4,360,App,Entregado,CDMX
1102,2025-07-22,Tenis,Calzado,3,3600,App,Entregado,Guadalajara
1103,2025-05-29,Pantalón,Ropa,3,1800,Web,Entregado,Monterrey
1104,2025-04-14,Calcetines,Calzado,2,180,Marketplace,Entregado,CDMX
1105,2025-04-22,Mochila,Accesorios,1,800,Web,Entregado,CDMX
1106,2025-09-29,Camiseta,Ropa,1,250,App,Entregado,Puebla
1107,2025-03-26,Camiseta,Ropa,3,750,Web,Entregado,Guadalajara
1108,2025-02-23,Chamarra,Ropa,3,4500,App,Entregado,Puebla
1109,2025-08-26,Tenis,Calzado,3,3600,Web,Entregado,Guadalajara
1110,2025-07-16,Chamarra,Ropa,1,1500,Web,Entregado,Puebla
1111,2025-04-07,Pantalón,Ropa,4,2400,App,Entregado,CDMX
1112,2025-04-21,Mochila,Accesorios,4,3200,Web,Entregado,Puebla
1113,2025-11-11,Gorra,Accesorios,3,540,Web,Entregado,CDMX
1114,2025-01-15,Mochila,Accesorios,2,1600,Marketplace,Cancelado,CDMX
1115,2025-04-09,Calcetines,Calzado,4,360,Marketplace,Enviado,Monterrey
1116,2025-07-23,Chamarra,Ropa,3,4500,App,Enviado,Guadalajara
1117,2025-09-03,Pantalón,Ropa,4,2400,App,Entregado,CDMX
1118,2025-07-29,Calcetines,Calzado,2,180,Web,Entregado,Puebla
1119,2025-07-27,Camiseta,Ropa,2,500,Marketplace,Entregado,Monterrey
1120,2025-10-10,Gorra,Accesorios,4,720,Marketplace,Entregado,Guadalajara
1121,2025-08-18,Tenis,Calzado,1,1200,App,Cancelado,Guadalajara
1122,2025-08-18,Mochila,Accesorios,2,1600,Web,Entregado,CDMX
1123,2025-11-23,Pantalón,Ropa,2,1200,Web,Enviado,Guadalajara
1124,2025-10-04,Mochila,Accesorios,3,2400,App,Entregado,Guadalajara
1125,2025-03-04,Camiseta,Ropa,4,1000,Web,Entregado,Puebla
1126,2025-12-20,Chamarra,Ropa,4,6000,Marketplace,Enviado,Puebla
1127,2025-02-24,Chamarra,Ropa,2,3000,Marketplace,Entregado,CDMX
1128,2025-12-11,Mochila,Accesorios,3,2400,App,Cancelado,Guadalajara
1129,2025-02-14,Tenis,Calzado,3,3600,Web,Entregado,Monterrey
1130,2025-12-25,Mochila,Accesorios,4,3200,App,Entregado,Guadalajara
1131,2025-01-28,Chamarra,Ropa,1,1500,App,Entregado,CDMX
1132,2025-11-20,Mochila,Accesorios,2,1600,App,Entregado,Monterrey
1133,2025-07-14,Pantalón,Ropa,3,1800,Marketplace,Enviado,Guadalajara
1134,2025-07-25,Calcetines,Calzado,1,90,App,Enviado,CDMX
1135,2025-03-02,Mochila,Accesorios,2,1600,App,Cancelado,Guadalajara
1136,2025-02-18,Camiseta,Ropa,4,1000,App,Entregado,Guadalajara
1137,2025-10-22,Tenis,Calzado,1,1200,Marketplace,Entregado,CDMX
1138,2025-03-31,Chamarra,Ropa,4,6000,Web,Entregado,Monterrey
1139,2025-01-09,Camiseta,Ropa,4,1000,Marketplace,Entregado,Puebla
1140,2025-06-16,Gorra,Accesorios,1,180,App,Enviado,Guadalajara
1141,2025-05-17,Chamarra,Ropa,3,4500,Web,Entregado,Monterrey
1142,2025-06-14,Calcetines,Calzado,2,180,Web,Enviado,Monterrey
1143,2025-06-22,Mochila,Accesorios,2,1600,Web,Entregado,CDMX
1144,2025-01-24,Tenis,Calzado,3,3600,App,Entregado,CDMX
1145,2025-03-21,Gorra,Accesorios,4,720,Marketplace,Cancelado,Puebla
1146,2025-04-09,Gorra,Accesorios,4,720,Web,Entregado,Guadalajara
1147,2025-05-10,Mochila,Accesorios,1,800,Web,Entregado,CDMX
1148,2025-06-04,Pantalón,Ropa,1,600,App,Enviado,Guadalajara
1149,2025-03-23,Gorra,Accesorios,3,540,App,Enviado,Guadalajara
1150,2025-10-20,Camiseta,Ropa,1,250,Marketplace,Enviado,Guadalajara
1151,2025-04-13,Tenis,Calzado,2,2400,App,Entregado,CDMX
1152,2025-06-09,Mochila,Accesorios,3,2400,Marketplace,Entregado,Monterrey
1153,2025-12-05,Chamarra,Ropa,1,1500,Web,Entregado,Guadalajara
1154,2025-12-31,Tenis,Calzado,4,4800,App,Cancelado,Puebla
1155,2025-06-02,Mochila,Accesorios,3,2400,App,Entregado,Guadalajara
1156,2025-05-22,Chamarra,Ropa,1,1500,App,Entregado,Puebla
1157,2025-05-21,Mochila,Accesorios,2,1600,Web,Entregado,Puebla
1158,2025-05-10,Camiseta,Ropa,3,750,Web,Entregado,Guadalajara
1159,2025-08-12,Gorra,Accesorios,2,360,Web,Enviado,Monterrey
1160,2025-08-22,Calcetines,Calzado,3,270,Marketplace,Entregado,Guadalajara
1161,2025-08-31,Calcetines,Calzado,4,360,App,Cancelado,Guadalajara
1162,2025-10-12,Tenis,Calzado,2,2400,Marketplace,Enviado,Monterrey
1163,2025-08-30,Gorra,Accesorios,1,180,Web,Enviado,CDMX
1164,2025-04-09,Tenis,Calzado,2,2400,Web,Entregado,Monterrey
1165,2025-01-31,Gorra,Accesorios,3,540,App,Enviado,CDMX
1166,2025-05-31,Pantalón,Ropa,3,1800,Web,Enviado,Guadalajara
1167,2025-08-01,Calcetines,Calzado,1,90,Web,Enviado,Guadalajara
1168,2025-12-01,Camiseta,Ropa,3,750,App,Entregado,Guadalajara
1169,2025-09-26,Tenis,Calzado,1,1200,Web,Entregado,CDMX
1170,2025-04-27,Pantalón,Ropa,3,1800,Web,Entregado,CDMX
1171,2025-10-18,Calcetines,Calzado,4,360,Web,Entregado,CDMX
1172,2025-08-28,Calcetines,Calzado,1,90,Web,Cancelado,Guadalajara
1173,2025-08-03,Chamarra,Ropa,4,6000,App,Entregado,Monterrey
1174,2025-11-09,Mochila,Accesorios,1,800,Web,Entregado,CDMX
1175,2025-02-17,Mochila,Accesorios,3,2400,Web,Enviado,CDMX
1176,2025-06-29,Pantalón,Ropa,3,1800,Marketplace,Entregado,Puebla
1177,2025-01-31,Camiseta,Ropa,1,250,Marketplace,Entregado,Guadalajara
1178,2025-09-28,Camiseta,Ropa,4,1000,Web,Enviado,CDMX
1179,2025-04-28,Calcetines,Calzado,3,270,Marketplace,Entregado,CDMX
1180,2025-10-10,Mochila,Accesorios,2,1600,Web,Entregado,Puebla
1181,2025-12-05,Mochila,Accesorios,1,800,App,Entregado,Puebla
1182,2025-11-09,Chamarra,Ropa,1,1500,App,Entregado,Puebla
1183,2025-06-22,Mochila,Accesorios,3,2400,Web,Entregado,Puebla
1184,2025-08-15,Mochila,Accesorios,2,1600,App,Entregado,Monterrey
1185,2025-11-23,Camiseta,Ropa,3,750,Web,Entregado,CDMX
1186,2025-02-12,Camiseta,Ropa,4,1000,Web,Cancelado,CDMX
1187,2025-06-17,Mochila,Accesorios,3,2400,Web,Entregado,Monterrey
1188,2025-04-18,Camiseta,Ropa,3,750,App,Entregado,Puebla
1189,2025-10-03,Mochila,Accesorios,3,2400,App,Entregado,Guadalajara
1190,2025-12-27,Calcetines,Calzado,2,180,App,Enviado,Monterrey
1191,2025-06-27,Mochila,Accesorios,1,800,App,Entregado,Puebla
1192,2025-06-15,Tenis,Calzado,3,3600,Web,Entregado,Puebla
1193,2025-09-16,Pantalón,Ropa,1,600,Web,Cancelado,CDMX
1194,2025-04-03,Gorra,Accesorios,1,180,Marketplace,Entregado,CDMX
1195,2025-04-26,Mochila,Accesorios,3,2400,Web,Entregado,CDMX
1196,2025-03-02,Tenis,Calzado,3,3600,App,Entregado,Guadalajara
1197,2025-11-21,Mochila,Accesorios,2,1600,App,Entregado,Puebla
1198,2025-07-05,Tenis,Calzado,3,3600,App,Entregado,Monterrey
1199,2025-04-07,Calcetines,Calzado,4,360,Web,Entregado,CDMX
1200,2025-08-15,Pantalón,Ropa,4,2400,App,Entregado,Puebla
1201,2025-01-03,Gorra,Accesorios,4,720,Web,Entregado,Guadalajara
1202,2025-05-14,Tenis,Calzado,1,1200,App,Entregado,Puebla
1203,2025-09-21,Pantalón,Ropa,1,600,Web,Entregado,CDMX
1204,2025-12-18,Mochila,Accesorios,2,1600,Web,Cancelado,Monterrey
1205,2025-09-04,Calcetines,Calzado,3,270,App,Entregado,Guadalajara
1206,2025-02-15,Camiseta,Ropa,3,750,Web,Entregado,Monterrey
1207,2025-08-28,Mochila,Accesorios,3,2400,Web,Entregado,Guadalajara
1208,2025-09-19,Mochila,Accesorios,4,3200,Marketplace,Entregado,Puebla
1209,2025-09-08,Pantalón,Ropa,1,600,App,Entregado,Monterrey
1210,2025-02-20,Tenis,Calzado,1,1200,App,Entregado,Monterrey
1211,2025-08-02,Gorra,Accesorios,2,360,App,Entregado,Monterrey
1212,2025-05-23,Chamarra,Ropa,1,1500,Marketplace,Cancelado,CDMX
1213,2025-02-12,Gorra,Accesorios,3,540,App,Entregado,Puebla
1214,2025-12-26,Pantalón,Ropa,2,1200,Web,Entregado,Puebla
1215,2025-09-02,Mochila,Accesorios,4,3200,App,Enviado,Puebla
1216,2025-11-03,Chamarra,Ropa,2,3000,Web,Entregado,Monterrey
1217,2025-01-03,Camiseta,Ropa,2,500,Marketplace,Enviado,Monterrey
1218,2025-06-02,Calcetines,Calzado,2,180,App,Entregado,CDMX
1219,2025-03-08,Calcetines,Calzado,1,90,Marketplace,Entregado,Guadalajara
1220,2025-11-27,Pantalón,Ropa,4,2400,App,Entregado,Guadalajara
1221,2025-06-03,Chamarra,Ropa,4,6000,Web,Enviado,Guadalajara
1222,2025-08-30,Gorra,Accesorios,2,360,App,Entregado,Guadalajara
1223,2025-05-19,Camiseta,Ropa,3,750,App,Entregado,Guadalajara
1224,2025-12-07,Mochila,Accesorios,4,3200,App,Entregado,CDMX
1225,2025-02-13,Calcetines,Calzado,2,180,Web,Enviado,Guadalajara
1226,2025-02-17,Tenis,Calzado,4,4800,App,Enviado,Guadalajara
1227,2025-06-05,Camiseta,Ropa,2,500,Marketplace,Entregado,CDMX
1228,2025-08-02,Camiseta,Ropa,1,250,App,Enviado,Puebla
1229,2025-08-16,Calcetines,Calzado,1,90,Web,Entregado,CDMX
1230,2025-11-13,Pantalón,Ropa,3,1800,Marketplace,Entregado,Puebla
1231,2025-05-18,Gorra,Accesorios,1,180,Marketplace,Entregado,Guadalajara
1232,2025-12-13,Mochila,Accesorios,1,800,Marketplace,Entregado,Guadalajara
1233,2025-09-16,Mochila,Accesorios,3,2400,Web,Entregado,Guadalajara
1234,2025-07-29,Pantalón,Ropa,2,1200,Web,Entregado,Puebla
1235,2025-03-26,Camiseta,Ropa,1,250,App,Enviado,Puebla
1236,2025-09-28,Gorra,Accesorios,3,540,Web,Entregado,Guadalajara
1237,2025-02-22,Calcetines,Calzado,4,360,Web,Entregado,Monterrey
1238,2025-01-22,Chamarra,Ropa,4,6000,App,Entregado,CDMX
1239,2025-10-01,Camiseta,Ropa,1,250,App,Entregado,Puebla
1240,2025-03-30,Chamarra,Ropa,4,6000,App,Enviado,CDMX
1241,2025-09-02,Tenis,Calzado,2,2400,Web,Entregado,CDMX
1242,2025-07-25,Pantalón,Ropa,2,1200,App,Entregado,CDMX
1243,2025-06-06,Gorra,Accesorios,2,360,Web,Cancelado,CDMX
1244,2025-06-16,Mochila,Accesorios,4,3200,App,Entregado,CDMX
1245,2025-02-19,Mochila,Accesorios,1,800,Marketplace,Entregado,Puebla
1246,2025-04-22,Camiseta,Ropa,3,750,Web,Entregado,Guadalajara
1247,2025-08-31,Gorra,Accesorios,3,540,Web,Enviado,Guadalajara
1248,2025-05-19,Calcetines,Calzado,2,180,Web,Entregado,Guadalajara
1249,2025-10-01,Pantalón,Ropa,3,1800,Web,Entregado,Monterrey
1250,2025-12-12,Pantalón,Ropa,1,600,Web,Entregado,Guadalajara
1251,2025-03-01,Pantalón,Ropa,3,1800,Marketplace,Entregado,Guadalajara
1252,2025-03-11,Pantalón,Ropa,2,1200,Web,Entregado,CDMX
1253,2025-09-09,Mochila,Accesorios,1,800,Web,Entregado,Guadalajara
1254,2025-04-03,Pantalón,Ropa,2,1200,App,Entregado,CDMX
1255,2025-05-10,Pantalón,Ropa,2,1200,Marketplace,Entregado,CDMX
1256,2025-11-29,Camiseta,Ropa,3,750,Web,Entregado,Guadalajara
1257,2025-12-01,Camiseta,Ropa,3,750,Web,Entregado,Puebla
1258,2025-12-04,Calcetines,Calzado,4,360,Web,Entregado,Monterrey
1259,2025-10-02,Tenis,Calzado,2,2400,Web,Entregado,Monterrey
1260,2025-01-18,Calcetines,Calzado,4,360,Web,Enviado,CDMX
1261,2025-04-10,Chamarra,Ropa,1,1500,Web,Entregado,CDMX
1262,2025-08-19,Mochila,Accesorios,2,1600,App,Entregado,CDMX
1263,2025-12-09,Gorra,Accesorios,1,180,Web,Enviado,Puebla
1264,2025-04-04,Calcetines,Calzado,2,180,Web,Entregado,Puebla
1265,2025-01-10,Calcetines,Calzado,4,360,Marketplace,Entregado,Guadalajara
1266,2025-09-13,Camiseta,Ropa,1,250,Web,Entregado,Monterrey
1267,2025-03-09,Gorra,Accesorios,1,180,Web,Entregado,Monterrey
1268,2025-11-18,Gorra,Accesorios,2,360,Marketplace,Entregado,Guadalajara
1269,2025-03-30,Tenis,Calzado,4,4800,App,Cancelado,CDMX
1270,2025-02-16,Gorra,Accesorios,1,180,App,Entregado,CDMX
1271,2025-09-25,Tenis,Calzado,4,4800,App,Entregado,Guadalajara
1272,2025-03-16,Gorra,Accesorios,4,720,Web,Entregado,CDMX
1273,2025-07-12,Calcetines,Calzado,2,180,Marketplace,Entregado,Guadalajara
1274,2025-12-21,Calcetines,Calzado,1,90,Web,Cancelado,CDMX
1275,2025-06-19,Chamarra,Ropa,2,3000,Web,Cancelado,Guadalajara
1276,2025-04-19,Chamarra,Ropa,3,4500,Web,Entregado,Monterrey
1277,2025-03-23,Mochila,Accesorios,4,3200,Web,Entregado,Puebla
1278,2025-06-30,Chamarra,Ropa,1,1500,App,Entregado,Puebla
1279,2025-10-04,Tenis,Calzado,3,3600,App,Entregado,Guadalajara
1280,2025-09-25,Camiseta,Ropa,3,750,App,Entregado,CDMX
1281,2025-02-12,Gorra,Accesorios,4,720,App,Entregado,Guadalajara
1282,2025-08-04,Pantalón,Ropa,3,1800,Marketplace,Entregado,CDMX
1283,2025-04-01,Chamarra,Ropa,4,6000,App,Entregado,Guadalajara
1284,2025-05-14,Camiseta,Ropa,4,1000,Web,Entregado,Monterrey
1285,2025-10-22,Calcetines,Calzado,3,270,Web,Entregado,Guadalajara
1286,2025-10-29,Mochila,Accesorios,2,1600,Web,Entregado,Monterrey
1287,2025-06-14,Pantalón,Ropa,4,2400,App,Enviado,Guadalajara
1288,2025-04-01,Calcetines,Calzado,3,270,App,Entregado,Puebla
1289,2025-11-17,Tenis,Calzado,4,4800,Web,Enviado,Guadalajara
1290,2025-11-08,Camiseta,Ropa,1,250,Web,Entregado,Monterrey
1291,2025-08-08,Mochila,Accesorios,1,800,Web,Entregado,CDMX
1292,2025-06-02,Mochila,Accesorios,3,2400,Web,Cancelado,Guadalajara
1293,2025-10-16,Camiseta,Ropa,3,750,Web,Entregado,CDMX
1294,2025-05-24,Chamarra,Ropa,4,6000,App,Enviado,CDMX
1295,2025-03-10,Calcetines,Calzado,1,90,App,Entregado,Monterrey
1296,2025-12-13,Calcetines,Calzado,4,360,App,Entregado,Puebla
1297,2025-04-26,Tenis,Calzado,2,2400,Web,Cancelado,Guadalajara
1298,2025-09-09,Mochila,Accesorios,4,3200,Web,Entregado,Guadalajara
1299,2025-05-18,Calcetines,Calzado,2,180,Web,Entregado,Guadalajara
1300,2025-12-21,Camiseta,Ropa,4,1000,App,Entregado,Guadalajara
1301,2025-06-30,Camiseta,Ropa,1,250,Web,Entregado,Guadalajara
1302,2025-07-27,Camiseta,Ropa,2,500,Web,Entregado,Puebla
1303,2025-06-22,Tenis,Calzado,4,4800,Marketplace,Entregado,CDMX
1304,2025-11-19,Camiseta,Ropa,4,1000,Web,Enviado,CDMX
1305,2025-10-28,Camiseta,Ropa,1,250,Marketplace,Entregado,CDMX
1306,2025-07-16,Pantalón,Ropa,1,600,Web,Cancelado,Puebla
1307,2025-03-05,Chamarra,Ropa,1,1500,Marketplace,Entregado,Guadalajara
1308,2025-05-04,Gorra,Accesorios,4,720,Web,Entregado,Guadalajara
1309,2025-11-07,Pantalón,Ropa,2,1200,App,Entregado,Puebla
1310,2025-12-23,Mochila,Accesorios,3,2400,Web,Entregado,Guadalajara
1311,2025-11-21,Chamarra,Ropa,4,6000,Web,Entregado,CDMX
1312,2025-12-17,Chamarra,Ropa,4,6000,Marketplace,Entregado,CDMX
1313,2025-01-28,Mochila,Accesorios,2,1600,Web,Entregado,Puebla
1314,2025-06-03,Calcetines,Calzado,2,180,Marketplace,Entregado,Guadalajara
1315,2025-01-04,Camiseta,Ropa,4,1000,Marketplace,Enviado,Monterrey
1316,2025-01-25,Camiseta,Ropa,2,500,Marketplace,Entregado,CDMX
1317,2025-04-17,Mochila,Accesorios,1,800,Web,Entregado,Puebla
1318,2025-07-31,Tenis,Calzado,4,4800,Marketplace,Enviado,CDMX
1319,2025-05-27,Camiseta,Ropa,3,750,Web,Entregado,Puebla
1320,2025-05-29,Gorra,Accesorios,4,720,Web,Enviado,Monterrey
1321,2025-12-21,Tenis,Calzado,4,4800,Marketplace,Entregado,CDMX
1322,2025-12-31,Gorra,Accesorios,3,540,Marketplace,Entregado,Monterrey
1323,2025-01-27,Gorra,Accesorios,3,540,Web,Entregado,Puebla
1324,2025-05-08,Tenis,Calzado,4,4800,Marketplace,Entregado,Guadalajara
1325,2025-10-13,Gorra,Accesorios,4,720,App,Entregado,Puebla
1326,2025-05-12,Gorra,Accesorios,3,540,App,Entregado,Monterrey
1327,2025-06-23,Mochila,Accesorios,3,2400,Web,Entregado,Guadalajara
1328,2025-07-08,Chamarra,Ropa,3,4500,Web,Entregado,CDMX
1329,2025-02-17,Calcetines,Calzado,4,360,Marketplace,Entregado,Guadalajara
1330,2025-06-14,Camiseta,Ropa,2,500,App,Entregado,Guadalajara
1331,2025-05-14,Tenis,Calzado,4,4800,Web,Cancelado,CDMX
1332,2025-05-31,Mochila,Accesorios,2,1600,Web,Entregado,Puebla
1333,2025-05-20,Pantalón,Ropa,4,2400,Marketplace,Entregado,CDMX
1334,2025-01-01,Gorra,Accesorios,1,180,Web,Enviado,Puebla
1335,2025-03-30,Mochila,Accesorios,4,3200,Web,Entregado,Monterrey
1336,2025-09-10,Chamarra,Ropa,2,3000,Web,Enviado,Puebla
1337,2025-04-18,Mochila,Accesorios,3,2400,Marketplace,Entregado,CDMX
1338,2025-12-28,Pantalón,Ropa,1,600,Web,Entregado,CDMX
1339,2025-06-03,Gorra,Accesorios,2,360,Marketplace,Entregado,Puebla
1340,2025-05-13,Chamarra,Ropa,1,1500,Web,Enviado,Monterrey
1341,2025-12-18,Tenis,Calzado,3,3600,App,Entregado,CDMX
1342,2025-03-14,Chamarra,Ropa,4,6000,Web,Entregado,CDMX
1343,2025-06-17,Mochila,Accesorios,1,800,App,Enviado,Puebla
1344,2025-10-22,Calcetines,Calzado,2,180,Web,Enviado,CDMX
1345,2025-12-13,Tenis,Calzado,4,4800,Web,Entregado,Guadalajara
1346,2025-12-06,Camiseta,Ropa,1,250,Web,Entregado,CDMX
1347,2025-01-12,Pantalón,Ropa,1,600,Marketplace,Cancelado,Guadalajara
1348,2025-07-03,Pantalón,Ropa,1,600,Web,Entregado,Monterrey
1349,2025-01-25,Mochila,Accesorios,3,2400,Web,Entregado,Monterrey
1350,2025-06-05,Pantalón,Ropa,3,1800,Web,Entregado,Monterrey
